17,1.0632
18,1.06
19,1.0474
20,1.032
21,1.03
22,1.0303
23,1.0249
24,1.0265
25,1.0389
26,1.0341
27,1.0316
28,1.0739
29,1.0325
30,1.0326
31,1.0287
32,1.0414
33,1.0254
34,0.99276
35,1.053
36,0.99203
37,1.0381
38,1.0531
39,1.0481
40,1.0459
41,1.0671
42,1.0628
43,1.0514
44,1.0554
45,1.0533
46,1.0553
47,1.0592
48,1.0499
49,1.0533
50,1.0606
51,1.0085
52,1.0376
53,1.0459
54,1.0568
55,0.99786
56,1.0743
57,0.99962
58,0.99908
59,1.0083
60,1.0076
61,1.01
62,1.0344
63,1.0792
64,1.0825
65,1.0144
66,1.0048
67,1.0138
68,1.0452
2,1.045
3,0.98
4,0.983
5,0.997
6,1.011
7,1.05
8,1.063
9,1.03
10,1.025
11,1.01
12,1
13,1.0156
1,1.011
14,1
15,1
16,1
